요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
토,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,1141,992,826,794,664,708,892,1000,1225,1205,1348,1280,1341,1364,1426,1371,1520,1435,1341,1353,1200,1193,1247,1032
일,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,844,750,650,480,424,425,556,576,818,926,1153,1280,1321,1377,1243,1259,1383,1287,1215,1109,1019,1024,917,738
화,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,588,477,388,310,220,285,381,442,558,629,844,1018,994,851,814,722,718,738,767,1104,1156,1122,1057,786
수,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,712,603,527,377,359,320,436,516,638,747,889,987,1180,1025,919,763,789,902,1274,1174,1163,1070,1020,876
토,동호로(장충체육관),A-10,유입,약수역->장충체육관,672,505,377,295,355,524,794,1027,1536,1950,1968,2200,2229,2185,2106,2003,1896,1873,1786,1648,1456,917,668,659
일,동호로(장충체육관),A-10,유입,약수역->장충체육관,571,365,289,212,191,285,462,647,974,1520,1614,1809,1895,2015,1845,1904,1809,1635,1656,1484,1230,1067,924,579
월,동호로(장충체육관),A-10,유입,약수역->장충체육관,458,299,237,209,275,562,1383,2534,2618,2331,2238,2353,2182,2259,2263,2117,1804,1700,1715,1448,1349,1047,815,617
화,동호로(장충체육관),A-10,유입,약수역->장충체육관,430,359,266,263,334,495,1327,2513,2661,2423,2311,2333,2164,2303,2129,2174,1974,1961,1777,1523,1443,1228,1028,730
수,동호로(장충체육관),A-10,유입,약수역->장충체육관,536,368,348,287,321,541,1284,2434,2619,2418,2342,2340,2152,2224,2251,2200,2009,1912,1847,1712,1435,1229,948,706
일,동호로(장충체육관),A-10,유입,약수역->장충체육관,568,381,288,202,214,219,461,591,927,1483,1682,2091,2005,1953,1898,1867,1909,1758,1653,1429,1231,1001,877,632
월,동호로(장충체육관),A-10,유입,약수역->장충체육관,449,318,215,175,265,555,1440,2558,2536,2339,2351,2351,2030,2140,2284,2101,1973,1933,1773,1532,1404,1126,922,696
화,동호로(장충체육관),A-10,유입,약수역->장충체육관,547,425,297,264,337,536,1351,2440,2603,2461,2384,2404,2189,2206,2146,2061,2047,2045,1937,1674,1474,1136,957,774
수,동호로(장충체육관),A-10,유입,약수역->장충체육관,523,395,329,307,319,501,1294,2417,2576,2462,2366,2360,2065,2175,2233,1989,1870,1821,1822,1647,1400,1181,941,730
금,동호로(장충체육관),A-10,유입,약수역->장충체육관,541,413,364,292,361,542,1199,2386,2580,2393,2379,2359,2176,2348,2214,2128,1957,2019,1752,1776,1656,1418,1139,944
토,동호로(장충체육관),A-10,유입,약수역->장충체육관,616,506,378,305,337,485,829,1070,1758,2124,2033,2250,2161,2098,2168,1970,1941,1898,1697,1733,1467,1132,980,650
일,동호로(장충체육관),A-10,유입,약수역->장충체육관,486,400,288,213,216,261,466,656,1057,1558,1792,1750,1710,1868,1717,1515,1538,1549,1594,1643,1429,1039,786,624
월,동호로(장충체육관),A-10,유입,약수역->장충체육관,410,283,223,214,280,562,1450,2592,2674,2303,2430,2375,2148,2289,2218,2188,2050,1880,1911,1726,1485,1155,1020,747
수,동호로(장충체육관),A-10,유입,약수역->장충체육관,521,415,362,316,349,543,1305,2418,2664,2409,2370,2305,2025,2263,2123,2019,1989,1857,1770,1633,1575,1284,1033,736
목,동호로(장충체육관),A-10,유입,약수역->장충체육관,537,375,325,310,366,478,1244,2337,2441,2354,2353,2241,2178,2229,2199,2086,1886,1907,1687,1564,1455,1239,1069,859
금,동호로(장충체육관),A-10,유입,약수역->장충체육관,573,433,327,292,291,482,1199,2285,2457,2236,2242,2100,2022,2172,2049,2028,1869,1802,1805,1401,1419,1215,1071,800
토,동호로(장충체육관),A-10,유입,약수역->장충체육관,645,458,353,312,306,412,731,863,1303,1650,1865,2005,2005,1973,1895,1929,1949,1867,1645,1409,1145,929,800,630
일,동호로(장충체육관),A-10,유입,약수역->장충체육관,477,371,274,208,201,247,411,482,794,1217,1398,1697,1577,1690,1597,1649,1472,1412,1201,1031,832,660,537,406
월,동호로(장충체육관),A-10,유입,약수역->장충체육관,282,198,125,108,123,191,305,592,867,861,1041,1644,1787,1826,1892,1559,1455,1599,1307,1149,888,855,709,400
화,동호로(장충체육관),A-10,유입,약수역->장충체육관,309,209,139,113,109,169,252,336,520,877,1121,1765,1863,1880,1826,1712,1596,1559,1436,1144,901,865,733,594
수,동호로(장충체육관),A-10,유입,약수역->장충체육관,394,286,207,171,157,178,299,478,717,1108,1308,1719,1719,1820,1646,1693,1612,1382,1315,1203,910,728,673,507
목,동호로(장충체육관),A-10,유입,약수역->장충체육관,368,279,195,161,250,498,1298,2462,2500,2270,2107,2176,1979,2137,2160,2093,1948,1939,1895,1577,1456,1049,950,730
토,동호로(장충체육관),A-10,유입,약수역->장충체육관,591,458,359,277,333,463,768,1003,1620,1951,1990,2197,2119,2066,2111,2020,1865,1891,1790,1625,1421,1133,890,800
토,동호로(장충체육관),A-10,유출,장충체육관->약수역,780,594,436,385,335,401,517,780,1046,1428,1589,1680,1991,2025,2160,2167,2098,2027,1965,1478,1279,970,696,691
일,동호로(장충체육관),A-10,유출,장충체육관->약수역,563,437,343,264,215,277,346,463,711,999,1214,1392,1520,1715,1879,1960,1997,1761,1371,1287,1202,1019,713,556
월,동호로(장충체육관),A-10,유출,장충체육관->약수역,481,327,246,188,236,363,625,1473,1654,1652,1874,2073,1965,2060,2091,2124,1916,1892,2037,1820,1695,1313,983,653
화,동호로(장충체육관),A-10,유출,장충체육관->약수역,549,357,311,259,246,364,664,1359,1672,1805,1960,2065,1958,2159,2255,2362,2311,1964,2291,2001,1751,1489,1233,775
수,동호로(장충체육관),A-10,유출,장충체육관->약수역,640,446,373,242,330,386,640,1334,1659,1799,1957,2041,1999,2110,2340,2231,2492,2136,2244,1954,1827,1545,1174,785
일,동호로(장충체육관),A-10,유출,장충체육관->약수역,619,429,381,231,218,237,303,488,711,943,1174,1428,1595,1774,1970,2118,2031,1886,1449,1332,1200,1008,734,654
월,동호로(장충체육관),A-10,유출,장충체육관->약수역,451,353,247,204,239,341,643,1431,1505,1746,1924,2126,1942,2147,2242,2198,2211,2049,2283,1821,1705,1461,1104,749
화,동호로(장충체육관),A-10,유출,장충체육관->약수역,551,415,349,256,275,372,629,1507,1524,1802,1920,2028,2018,2101,2295,2303,2340,2245,2350,1949,1726,1360,1278,855
수,동호로(장충체육관),A-10,유출,장충체육관->약수역,598,445,371,272,294,399,646,1385,1658,1960,2064,1937,1991,2065,2190,2195,2238,2298,2060,1912,1775,1638,1185,835
금,동호로(장충체육관),A-10,유출,장충체육관->약수역,628,502,369,339,339,419,645,1423,1634,1769,2187,2065,2001,2272,2315,2285,2263,2127,1704,2140,1931,1564,1444,920
토,동호로(장충체육관),A-10,유출,장충체육관->약수역,665,534,472,351,369,410,553,813,1168,1513,1735,1797,1908,2012,2125,2116,1943,1855,1889,1466,1346,1186,1037,822
일,동호로(장충체육관),A-10,유출,장충체육관->약수역,581,472,363,218,197,252,301,518,695,998,1139,1128,1420,1568,1692,1547,1793,1635,1434,1368,1412,994,730,581
월,동호로(장충체육관),A-10,유출,장충체육관->약수역,459,329,256,193,232,383,700,1550,1572,1835,1994,2173,1933,2143,2256,2247,2414,2345,2205,2101,2082,1598,1261,850
수,동호로(장충체육관),A-10,유출,장충체육관->약수역,642,474,400,300,289,396,676,1327,1590,1642,1984,2018,1902,2144,2219,2310,2194,2006,1856,1940,1925,1559,1196,800
목,동호로(장충체육관),A-10,유출,장충체육관->약수역,607,495,399,292,336,397,625,1462,1577,1649,1870,2037,1815,2289,2247,2051,2023,1659,1910,2025,1786,1651,1432,929
금,동호로(장충체육관),A-10,유출,장충체육관->약수역,660,480,363,336,307,359,603,1292,1487,1566,1772,1780,1789,2071,2192,2190,2067,1742,1816,1626,1573,1322,1173,907
토,동호로(장충체육관),A-10,유출,장충체육관->약수역,726,578,441,332,327,325,431,607,906,1218,1427,1544,1632,1778,1758,1680,1566,1670,1486,1380,1268,1140,1009,737
일,동호로(장충체육관),A-10,유출,장충체육관->약수역,537,362,279,249,223,237,273,353,534,741,933,1091,1217,1415,1254,1288,1269,1330,1169,998,944,829,660,425
월,동호로(장충체육관),A-10,유출,장충체육관->약수역,293,211,153,121,101,154,238,377,618,668,795,1156,1270,1263,1310,1482,1373,1306,1172,932,848,782,575,410
화,동호로(장충체육관),A-10,유출,장충체육관->약수역,294,206,131,124,103,129,192,249,405,571,759,931,1090,1337,1405,1435,1581,1461,1335,1180,1037,949,735,580
수,동호로(장충체육관),A-10,유출,장충체육관->약수역,452,325,252,187,147,176,224,330,502,732,892,1034,1241,1392,1315,1470,1479,1458,1308,1234,1120,947,703,595
목,동호로(장충체육관),A-10,유출,장충체육관->약수역,373,259,218,160,195,309,604,1430,1463,1741,1775,1835,1814,2017,2029,2113,2069,1974,2066,1937,1756,1333,1101,786
